"timestamp","endpoint","cache_mode","profile","repeat","vus","duration","redis_hits_delta","redis_misses_delta","mysql_questions_delta","docker_cpu_avg_pct","docker_cpu_peak_pct","api_mem_peak_mib","mysql_mem_peak_mib","redis_mem_peak_mib","k6_summary","docker_stats"
"2026-09-24T11:45:08.5647411+08:00","categories","cold","cold","1","1","1 iteration","0","1","16","2.081","7.91","11.91","387.6","4.031","20260924-114501-categories-cold-r1-cold.json","20260924-114501-categories-cold-r1-cold.stats.txt"
"2026-09-24T11:45:14.5123840+08:00","categories","cold","cold","2","1","1 iteration","0","1","13","2.542","13.1","11.9","387.7","4.031","20260924-114501-categories-cold-r2-cold.json","20260924-114501-categories-cold-r2-cold.stats.txt"
"2026-09-24T11:45:20.3968150+08:00","categories","cold","cold","3","1","1 iteration","0","1","13","2.2","6.67","11.91","388.2","3.801","20260924-114501-categories-cold-r3-cold.json","20260924-114501-categories-cold-r3-cold.stats.txt"
"2026-09-24T11:45:26.7294719+08:00","ranking","cold","cold","1","1","1 iteration","0","1","18","1.964","6.92","12.15","387.6","4.273","20260924-114501-ranking-cold-r1-cold.json","20260924-114501-ranking-cold-r1-cold.stats.txt"
"2026-09-24T11:45:32.6391876+08:00","ranking","cold","cold","2","1","1 iteration","0","1","18","1.605","5.98","11.91","388.2","4.121","20260924-114501-ranking-cold-r2-cold.json","20260924-114501-ranking-cold-r2-cold.stats.txt"
"2026-09-24T11:45:38.4874770+08:00","ranking","cold","cold","3","1","1 iteration","0","1","18","1.418","7.57","11.9","387.8","3.949","20260924-114501-ranking-cold-r3-cold.json","20260924-114501-ranking-cold-r3-cold.stats.txt"
"2026-09-24T11:45:58.7844191+08:00","categories","hot","load","1","5","15s","718","0","70","3.015","12.79","13.41","389.5","5.914","20260924-114501-categories-hot-r1-load.json","20260924-114501-categories-hot-r1-load.stats.txt"
"2026-09-24T11:46:18.9624054+08:00","categories","hot","load","2","5","15s","710","0","71","2.568","9.57","13.12","389.2","4.289","20260924-114501-categories-hot-r2-load.json","20260924-114501-categories-hot-r2-load.stats.txt"
"2026-09-24T11:46:39.2458461+08:00","categories","hot","load","3","5","15s","710","0","69","2.619","8.64","13.46","388","4.34","20260924-114501-categories-hot-r3-load.json","20260924-114501-categories-hot-r3-load.stats.txt"
