"timestamp","endpoint","cache_mode","profile","repeat","vus","duration","redis_hits_delta","redis_misses_delta","mysql_questions_delta","docker_cpu_avg_pct","docker_cpu_peak_pct","api_mem_peak_mib","mysql_mem_peak_mib","redis_mem_peak_mib","k6_summary","docker_stats"
"2026-09-24T12:03:56.3215702+08:00","categories","hot","load","1","10","15s","1405","0","69","3.518","11.64","14.35","390.6","5.258","20260924-120334-categories-hot-r1-load.json","20260924-120334-categories-hot-r1-load.stats.txt"
"2026-09-24T12:04:17.6601826+08:00","categories","hot","load","2","10","15s","1394","0","75","3.638","9.99","14.39","391.1","4.242","20260924-120334-categories-hot-r2-load.json","20260924-120334-categories-hot-r2-load.stats.txt"
"2026-09-24T12:04:37.9608116+08:00","categories","hot","load","3","10","15s","1410","0","69","3.599","9.52","15.23","390.6","4.254","20260924-120334-categories-hot-r3-load.json","20260924-120334-categories-hot-r3-load.stats.txt"
"2026-09-24T12:04:59.2052686+08:00","ranking","hot","load","1","10","15s","2720","0","349","5.186","16.07","14.73","393.4","4.473","20260924-120334-ranking-hot-r1-load.json","20260924-120334-ranking-hot-r1-load.stats.txt"
"2026-09-24T12:05:20.2957268+08:00","ranking","hot","load","2","10","15s","2724","0","362","5.319","14.32","14.97","391","4.543","20260924-120334-ranking-hot-r2-load.json","20260924-120334-ranking-hot-r2-load.stats.txt"
"2026-09-24T12:05:41.2734908+08:00","ranking","hot","load","3","10","15s","2720","0","360","5.112","12.82","14.98","393.2","4.512","20260924-120334-ranking-hot-r3-load.json","20260924-120334-ranking-hot-r3-load.stats.txt"
"2026-09-24T12:06:00.2698528+08:00","engagement","mysql-read","load","1","10","15s",,,"4180","11.099","25.78","15.62","392.6","3.992","20260924-120334-engagement-mysql-read-r1-load.json","20260924-120334-engagement-mysql-read-r1-load.stats.txt"
"2026-09-24T12:06:20.7281216+08:00","engagement","mysql-read","load","2","10","15s",,,"4184","10.242","22.97","16.73","393.8","3.988","20260924-120334-engagement-mysql-read-r2-load.json","20260924-120334-engagement-mysql-read-r2-load.stats.txt"
"2026-09-24T12:06:41.3515692+08:00","engagement","mysql-read","load","3","10","15s",,,"4182","10.027","21.82","18.39","394.2","4.234","20260924-120334-engagement-mysql-read-r3-load.json","20260924-120334-engagement-mysql-read-r3-load.stats.txt"
