"timestamp","endpoint","cache_mode","profile","repeat","vus","duration","redis_hits_delta","redis_misses_delta","mysql_questions_delta","docker_cpu_avg_pct","docker_cpu_peak_pct","api_mem_peak_mib","mysql_mem_peak_mib","redis_mem_peak_mib","minio_mem_peak_mib","video_id","segment_path","k6_summary","docker_stats"
"2026-09-24T12:15:33.0031524+08:00","hls-segment","object-read","load","1","3","15s",,,"471","6.126","18.01","14.77","394.6",,"317.7","19","/api/v1/videos/19/hls/360p/segment-00001.ts","20260924-121512-hls-segment-object-read-r1-load.json","20260924-121512-hls-segment-object-read-r1-load.stats.txt"
"2026-09-24T12:15:51.7598966+08:00","hls-segment","object-read","load","2","3","15s",,,"474","5.432","14.88","14.91","395.2",,"339.6","19","/api/v1/videos/19/hls/360p/segment-00001.ts","20260924-121512-hls-segment-object-read-r2-load.json","20260924-121512-hls-segment-object-read-r2-load.stats.txt"
"2026-09-24T12:16:10.4950433+08:00","hls-segment","object-read","load","3","3","15s",,,"478","5.972","16.71","14.72","394.8",,"375","19","/api/v1/videos/19/hls/360p/segment-00001.ts","20260924-121512-hls-segment-object-read-r3-load.json","20260924-121512-hls-segment-object-read-r3-load.stats.txt"
