"timestamp","endpoint","cache_mode","profile","repeat","vus","duration","redis_hits_delta","redis_misses_delta","mysql_questions_delta","docker_cpu_avg_pct","docker_cpu_peak_pct","api_mem_peak_mib","mysql_mem_peak_mib","redis_mem_peak_mib","k6_summary","docker_stats"
"2026-09-24T11:36:51.4107152+08:00","categories","cold","cold","1","1","1 iteration","0","1",,"1.852","7.49","11.08","384.5","4.75","20260924-113642-categories-cold-r1-cold.json","20260924-113642-categories-cold-r1-cold.stats.txt"
"2026-09-24T11:36:58.8680375+08:00","ranking","cold","cold","1","1","1 iteration","4","1",,"2.964","14.68","11.08","385.6","3.988","20260924-113642-ranking-cold-r1-cold.json","20260924-113642-ranking-cold-r1-cold.stats.txt"
"2026-09-24T11:37:03.8929793+08:00","engagement","mysql-read","cold","1","1","1 iteration","0","0",,"1.422","6.36","11.08","384.5","7.031","20260924-113642-engagement-mysql-read-r1-cold.json","20260924-113642-engagement-mysql-read-r1-cold.stats.txt"
