"timestamp","endpoint","cache_mode","profile","repeat","vus","duration","redis_hits_delta","redis_misses_delta","mysql_questions_delta","docker_cpu_avg_pct","docker_cpu_peak_pct","api_mem_peak_mib","mysql_mem_peak_mib","redis_mem_peak_mib","k6_summary","docker_stats"
"2026-09-24T11:38:49.7484738+08:00","categories","cold","cold","1","1","1 iteration","0","1",,"1.172","6.23","11.16","384.7","3.738","20260924-113842-categories-cold-r1-cold.json","20260924-113842-categories-cold-r1-cold.stats.txt"
"2026-09-24T11:38:55.2617601+08:00","ranking","cold","cold","1","1","1 iteration","0","1",,"1.658","6.33","11.17","384.5","3.988","20260924-113842-ranking-cold-r1-cold.json","20260924-113842-ranking-cold-r1-cold.stats.txt"
"2026-09-24T11:39:00.3399161+08:00","engagement","mysql-read","cold","1","1","1 iteration","0","0",,"1.543","5.63","11.2","384.7","3.992","20260924-113842-engagement-mysql-read-r1-cold.json","20260924-113842-engagement-mysql-read-r1-cold.stats.txt"
