"timestamp","endpoint","cache_mode","profile","repeat","vus","duration","redis_hits_delta","redis_misses_delta","mysql_questions_delta","docker_cpu_avg_pct","docker_cpu_peak_pct","api_mem_peak_mib","mysql_mem_peak_mib","redis_mem_peak_mib","k6_summary","docker_stats"
"2026-09-24T11:40:22.5732580+08:00","categories","cold","cold","1","1","1 iteration","0","1",,"2.111","11.85","11.32","385.4","3.762","20260924-114014-categories-cold-r1-cold.json","20260924-114014-categories-cold-r1-cold.stats.txt"
"2026-09-24T11:40:27.9410954+08:00","ranking","cold","cold","1","1","1 iteration","0","1",,"1.882","5.79","11.34","386.1","3.992","20260924-114014-ranking-cold-r1-cold.json","20260924-114014-ranking-cold-r1-cold.stats.txt"
"2026-09-24T11:40:32.7088697+08:00","engagement","mysql-read","cold","1","1","1 iteration","0","0",,"1.867","6.23","11.34","385.4","3.992","20260924-114014-engagement-mysql-read-r1-cold.json","20260924-114014-engagement-mysql-read-r1-cold.stats.txt"
