"timestamp","endpoint","cache_mode","profile","repeat","vus","duration","redis_hits_delta","redis_misses_delta","mysql_questions_delta","docker_cpu_avg_pct","docker_cpu_peak_pct","api_mem_peak_mib","mysql_mem_peak_mib","redis_mem_peak_mib","k6_summary","docker_stats"
"2026-09-24T11:42:20.6136440+08:00","categories","cold","cold","1","1","1 iteration","0","1","13","2.904","13.39","11.64","388.1","4","20260924-114213-categories-cold-r1-cold.json","20260924-114213-categories-cold-r1-cold.stats.txt"
"2026-09-24T11:42:27.1056530+08:00","categories","cold","cold","2","1","1 iteration","0","1","19","1.7","6.39","11.66","387.5","4.008","20260924-114213-categories-cold-r2-cold.json","20260924-114213-categories-cold-r2-cold.stats.txt"
"2026-09-24T11:42:33.0507378+08:00","categories","cold","cold","3","1","1 iteration","0","1","16","1.802","5.86","11.67","387.5","3.875","20260924-114213-categories-cold-r3-cold.json","20260924-114213-categories-cold-r3-cold.stats.txt"
"2026-09-24T11:42:38.7682471+08:00","ranking","cold","cold","1","1","1 iteration","0","1","15","1.874","8.55","11.68","387.5","3.828","20260924-114213-ranking-cold-r1-cold.json","20260924-114213-ranking-cold-r1-cold.stats.txt"
"2026-09-24T11:42:45.8491060+08:00","ranking","cold","cold","2","1","1 iteration","0","1","24","2.252","9.6","11.69","388.1","3.84","20260924-114213-ranking-cold-r2-cold.json","20260924-114213-ranking-cold-r2-cold.stats.txt"
"2026-09-24T11:42:51.6920172+08:00","ranking","cold","cold","3","1","1 iteration","0","1","15","1.587","5.91","11.73","387.5","4","20260924-114213-ranking-cold-r3-cold.json","20260924-114213-ranking-cold-r3-cold.stats.txt"
"2026-09-24T11:43:11.8483579+08:00","categories","hot","load","1","5","15s","25699","0","68","33.831","110.65","12.96","388.6","4.047","20260924-114213-categories-hot-r1-load.json","20260924-114213-categories-hot-r1-load.stats.txt"
"2026-09-24T11:43:32.3601584+08:00","categories","hot","load","2","5","15s","25314","0","66","33.293","109.13","12.77","387.5","3.809","20260924-114213-categories-hot-r2-load.json","20260924-114213-categories-hot-r2-load.stats.txt"
"2026-09-24T11:43:52.6632912+08:00","categories","hot","load","3","5","15s","25518","0","66","33.936","109.67","12.97","387.8","3.797","20260924-114213-categories-hot-r3-load.json","20260924-114213-categories-hot-r3-load.stats.txt"
