"timestamp","endpoint","cache_mode","profile","repeat","vus","duration","redis_hits_delta","redis_misses_delta","mysql_questions_delta","docker_cpu_avg_pct","docker_cpu_peak_pct","api_mem_peak_mib","mysql_mem_peak_mib","redis_mem_peak_mib","minio_mem_peak_mib","video_id","segment_path","k6_summary","docker_stats"
"2026-09-24T12:20:53.4702068+08:00","categories","cold","cold","1","1","1 iteration","0","1","16","1.542","8.43","13.09","394.6","3.973",,"","","20260924-122046-categories-cold-r1-cold.json","20260924-122046-categories-cold-r1-cold.stats.txt"
"2026-09-24T12:21:00.0111153+08:00","ranking","cold","cold","1","1","1 iteration","0","1","22","1.944","13.41","12.84","395","3.898",,"","","20260924-122046-ranking-cold-r1-cold.json","20260924-122046-ranking-cold-r1-cold.stats.txt"
"2026-09-24T12:21:03.9712132+08:00","engagement","mysql-read","cold","1","1","1 iteration",,,"18","0.452","1.57","12.84","395.9",,,"19","","20260924-122046-engagement-mysql-read-r1-cold.json","20260924-122046-engagement-mysql-read-r1-cold.stats.txt"
