"timestamp","endpoint","cache_mode","profile","repeat","vus","duration","redis_hits_delta","redis_misses_delta","mysql_questions_delta","docker_cpu_avg_pct","docker_cpu_peak_pct","api_mem_peak_mib","mysql_mem_peak_mib","redis_mem_peak_mib","k6_summary","docker_stats"
"2026-09-24T11:50:40.1731477+08:00","categories","cold","cold","1","1","1 iteration","0","1","22","2.43","10","11.75","387.7","4.285","20260924-115031-categories-cold-r1-cold.json","20260924-115031-categories-cold-r1-cold.stats.txt"
"2026-09-24T11:50:45.9687649+08:00","categories","cold","cold","2","1","1 iteration","0","1","16","1.17","6.24","11.75","387.7","3.781","20260924-115031-categories-cold-r2-cold.json","20260924-115031-categories-cold-r2-cold.stats.txt"
"2026-09-24T11:50:51.9054161+08:00","categories","cold","cold","3","1","1 iteration","0","1","16","1.677","7.22","12","388.7","3.781","20260924-115031-categories-cold-r3-cold.json","20260924-115031-categories-cold-r3-cold.stats.txt"
"2026-09-24T11:50:57.9869397+08:00","ranking","cold","cold","1","1","1 iteration","4","1","23","2.916","8.92","11.75","388.8","4.277","20260924-115031-ranking-cold-r1-cold.json","20260924-115031-ranking-cold-r1-cold.stats.txt"
"2026-09-24T11:51:05.4763437+08:00","ranking","cold","cold","2","1","1 iteration","0","1","19","2.808","14.08","12","389.2","4.281","20260924-115031-ranking-cold-r2-cold.json","20260924-115031-ranking-cold-r2-cold.stats.txt"
"2026-09-24T11:51:13.3974242+08:00","ranking","cold","cold","3","1","1 iteration","0","1","24","2.027","9.39","12","389.1","4.027","20260924-115031-ranking-cold-r3-cold.json","20260924-115031-ranking-cold-r3-cold.stats.txt"
"2026-09-24T11:51:33.8689608+08:00","categories","hot","load","1","5","15s","710","0","72","2.995","16.6","13.56","388.8","4.273","20260924-115031-categories-hot-r1-load.json","20260924-115031-categories-hot-r1-load.stats.txt"
"2026-09-24T11:51:54.6687571+08:00","categories","hot","load","2","5","15s","710","0","72","2.969","13.26","13.17","389.5","4.281","20260924-115031-categories-hot-r2-load.json","20260924-115031-categories-hot-r2-load.stats.txt"
"2026-09-24T11:52:15.1107321+08:00","categories","hot","load","3","5","15s","714","0","66","3.106","16.15","15.7","389.1","4.273","20260924-115031-categories-hot-r3-load.json","20260924-115031-categories-hot-r3-load.stats.txt"
"2026-09-24T11:52:35.9490614+08:00","ranking","hot","load","1","5","15s","1370","0","347","4.226","11.33","13.64","389.5","4.387","20260924-115031-ranking-hot-r1-load.json","20260924-115031-ranking-hot-r1-load.stats.txt"
"2026-09-24T11:52:56.8265921+08:00","ranking","hot","load","2","5","15s","1370","0","355","4.218","12.47","14.01","391.7","4.531","20260924-115031-ranking-hot-r2-load.json","20260924-115031-ranking-hot-r2-load.stats.txt"
"2026-09-24T11:53:17.5873246+08:00","ranking","hot","load","3","5","15s","1370","0","340","4.007","11.06","13.73","389.2","4.062","20260924-115031-ranking-hot-r3-load.json","20260924-115031-ranking-hot-r3-load.stats.txt"
"2026-09-24T11:53:40.4939113+08:00","categories","redis-unavailable","load","1","5","15s",,,"80","1.92","10.47","13.79","391.6",,"20260924-115031-categories-redis-unavailable-r1-load.json","20260924-115031-categories-redis-unavailable-r1-load.stats.txt"
"2026-09-24T11:54:02.6344241+08:00","categories","redis-unavailable","load","2","5","15s",,,"85","2.053","9.52","15.77","389.2",,"20260924-115031-categories-redis-unavailable-r2-load.json","20260924-115031-categories-redis-unavailable-r2-load.stats.txt"
